Text,Sentiment,word_count,char_count,clean_text,pred_label_GPT,pred_label_RoBERTa
"Kickers on my watchlist XIDE TIT SOQ PNK CPW BPZ AJ  trade method 1 or method 2, see prev posts",1,20,95,kicker watchlist xide tit soq pnk cpw bpz trade method method see prev post,0,1
user: AAP MOVIE. 55% return for the FEA/GEED indicator just 15 trades for the year.  AWESOME.  ,1,16,95,user aap movie return fea geed indicator trade year awesome,1,1
user I'd be afraid to short AMZN - they are looking like a near-monopoly in eBooks and infrastructure-as-a-service,1,18,114,user afraid short amzn looking like near monopoly ebooks infrastructure service,1,0
MNTA Over 12.00  ,1,3,17,mnta,0,1
PGNX  Over 3.04  ,1,3,17,pgnx,0,1
AAP - user if so then the current downtrend will break. Otherwise just a short-term correction in med-term downtrend.,0,19,117,aap user current downtrend break otherwise short term correction med term downtrend,0,0
Monday's relative weakness. NYX WIN TIE TAP ICE INT BMC AON C CHK BIIB  ,0,14,72,monday relative weakness nyx win tie tap ice int bmc aon chk biib,0,0
GOOG - ower trend line channel test & volume support.   ,1,10,56,goog ower trend line channel test volume support,0,1
AAP will watch tomorrow for ONG entry.,1,7,38,aap watch tomorrow ong entry,0,1
i'm assuming FCX opens tomorrow above the 34.25 trigger buy. still very much like this setup.  ,1,16,95,assuming fcx open tomorrow trigger buy still much like setup,1,1
"It really worries me how everyone expects the market to rally now,usually exact opposite happens every time we shall see soon bac spx jpm",1,24,137,really worry everyone expects market rally usually exact opposite happens every time shall see soon bac spx jpm,0,0
AAP GAMCO's arry Haverty : Apple Is Extremely Cheap  Great Video !!!,1,12,68,aap gamco arry haverty apple extremely cheap great video,1,1
user Maykiljil posted that.  I agree that MSFT is going higher & possibly north of 30,1,16,85,user maykiljil posted agree msft going higher possibly north,1,1
Momentum is coming back to ETFC Broke MA200 resistance on solid volume Friday. ong set-up  ,1,15,91,momentum coming back etfc broke resistance solid volume friday ong set,1,1
HA Hitting 35.65 means resume targeting 42 level ..  ,1,9,53,hitting mean resume targeting level,1,0
user gameplan shot for today but I liked  on trend break from May or c+h break. OC weekly trend break back to july 2011,1,24,119,user gameplan shot today liked trend break may break weekly trend break back july,0,1
with FCX gapping well above ideal entry looking for a pull in to at least 35 on open for an entry,1,21,97,fcx gapping well ideal entry looking pull least open entry,0,1
"user great list again, particularly like FISV and SYK. All buy & hold types should check the free list out.  ",1,20,109,user great list particularly like fisv syk buy hold type check free list,1,1
ATHX upper trend line   ,1,4,24,athx upper trend line,0,1
NG - nice PNF BY - breakout - need follow thru  ,1,11,48,nice pnf breakout need follow thru,1,1
